ID,Name,Rolle,Geschlecht,Region,Funktion,Ehemalige Partei,Type,
AD,Alexander Dugin,Russischer Nationalist,2,Russland,6,0,1,
AFA,Agentur f:aun,Agentur,3,NA,4,0,2,
AFD,Alternative für Deutschland,Partei,3,Bund,3,0,2,
AG,Arno Gujon,"Direktor für Diaspora im serbischen Außenministerium, für Diaspora der Serben weltweit tätig ",2,Serbien,6,0,1,
AGA,Amelie Gabriel,Gründungsmitglied BSW,1,NA,6,1,1,
AH,Andrej Hunko,Mitglied des Bundestags ,2,Bund,6,1,1,
AI,Alter Iseri,Landesvorsitzender BSW Bremen,2,Bremen,6,2,1,
AL,Andreja Lovic,"Ehemaliger Mitarbeiter für die BSW-Bundestagsabgeordnete Zaklin Nastic, Vorstand ZHS",2,NA,6,0,1,
AAD,Ali Al-Dailami,Gründungsmitglied BSW,2,Bund,6,1,1,
AM,Amira Mohamed Ali,Parteivorsitzende,1,Bund,3,1,1,
Antifa,Bund der Antifaschistinnen und Antifaschisten (VVN/BdA),Verband,3,NA,2,0,2,
AP,Apolut,Nachfolge-Portal des 2021 eingestellten verschwörungsideologischen Internet-Radiosenders „KenFM“ des antisemitischen Verschwörungsideologen Ken Jebsen,3,Berlin,4,0,2,
AR,Amid Rabieh,Stellv Parteivorsitzender,2,Bund,3,1,1,
ARL,Alexander Relea-Linder,Erweiteter Landesvorstand,2,BaWü,6,1,1,
AU,Alexander Ulrich,"Beisitzer, Mitglied des Bundestages und Landesvorsitzender",2,Bund & Rheinland-Pfalz,6,"1,2",1,
AUS,Australien,anonyme Spende,3,Australien,7,0,2,
AV,Aleksandar Vulin,"Stellvertretender Ministerpräsident Serbien, ehemaliger Direktor des serbischen Nachrichtendienstes",2,Serbien,6,0,1,
BDG,Bündnis die Grünen,Partei,3,Bund,3,0,2,
BGR,Bündnis gegen Rechts,Bündnis,3,NA,2,0,2,
BSE,Bilfinger SE,"Industriedienstleister in Bereichen Petrochemie, Chemie, Pharma sowie Öl und Gas",3,NA,4,0,2,
BSW,Bündnis Sahra Wagenknecht,Partei,3,NA,3,0,2,
BSW Politiker Hamburg,,,,,,,2,
BSWeV,BSW - Für Vernunft und Gerechtigkeit e.V.,Verein BSW,3,NA,5,0,2,
CDU,Christlich Demokratische Union,Partei,3,Bund,3,0,2,
CHL,Chile,anonyme Spende,3,Chile,7,0,2,
CHS,Christopher Schulze,Landesvorsitzender BSW Bremen,2,Bremen,6,0,1,
CK,Christian Kruse,Stellvertretender Landesvorsitzender BSW Hamburg,2,Hamburg,6,0,1,
CL,Christian Leye,Generalsekretär,2,Bund,3,1,1,
CS,Cedric Schiele,Erweiteter Landesvorstand,2,BaWü,6,"1,2",1,
DAT,Dr. Anja Titze,Erweiteter Landesvorstand,1,BaWü,6,0,1,
DB,Deutscher Baugerichtstag e.V.,Verein,3,NA,2,0,2,
DGFB,Deutsche Gesellschaft für Baurecht e.V.,Verein,3,NA,2,0,2,
DHBW,Duale Hochschule Baden-Württemberg,Hochschule,3,Baden-Württemberg,1,0,2,
DL,Die Linke,Partei,3,Bund,3,0,2,
DLK,Dr. Lydia Krüger,wissenschaftliche Mitarbeiterin im Bundestagsbüro Wagenknechts,1,Bund,7,0,1,
DT,Deutscher Tierschutzbund,Tier- und Naturschutzdachorganisation,3,NA,2,0,2,
DVP,DVP Deutscher Verband der Projektmanager in der Bau- und Immobilienwirtschaft e.V.,Verein,3,NA,2,0,2,
EA,Etith Arndt,Sachbearbeiterin im Bundestagsbüro von Wagenknecht,1,Bund,7,0,1,
EGFLC,European Group for Lean Construction,NGO,3,NA,2,0,2,
FB,Friederike Benda,Stellv Parteivorsitzender,1,Bund,3,1,1,
FDM,Fabio de Masi,EU Parlament Abgeordneter,2,EU,6,1,1,
FP,Friedrich Perner,EU Parlament Abgeordneter,2,EU,6,0,1,
FPB,Friedensplenum Bochum,Organisation,3,Bochum,5,0,2,
GLCI,German Lean Construction Institute,Organisation,3,NA,2,0,2,
GST,Georg Sturm,Büroleiter von Sahra Wagenknecht. Im Bundestag,2,Bund,7,0,1,
HB,Heinrich Brinker,Landesgeschäftsführer,2,BaWÜ,6,1,1,
HHA,Hauke Haensel ,Bankchef Volksbank Pirna,2,Pirna,7,0,1,KenFM war wegen der Verbreitung von Desinformation und Verschwörungsmythen unter Druck geraten.
HH,Hans Haarmeyer,Gründungsmitglied BSW,2,Bund,7,0,1,
HJS,Hans-Jürgen Scharfenberg,"Fraktionschef des BSW-Ablegers Bündnis für Vernunft und Gerechtigkeit (BfV) im Potsdamer Stadtrat, ehemaliges Mitglied Die Linke, ehemaliger Stasi Mitarbeiter ",2,Brandenburg,6,1,1,
HL,Hartmut Liebs,Beisitzer,2,Bund,6,1,1,
HO,Holger Onken,Mitgründer des BSW-Landesverbandes Niedersachsen,2,Niedersachsen,6,1,1,
IGFLC,International Group for Lean Construction,NGO,3,NA,2,0,2,
IGM,IG Metall,Gewerkschaft und Arbeitnehmervertretung,3,NA,2,0,2,
IND,Indien,anonyme Spende,3,Indien,7,0,2,
IPA,IPA Zentrum Kompetenzzentrum für Integrierte Projektabwicklung,Organisation,3,NA,2,0,2,
ISR,Israel,anonyme Spende,3,Israel,7,0,2,
JB,Jochen Brack,Landesvorsitzender BSW Hamburg,2,Hamburg,6,0,1,
JF,Jochen Flackus,Gründungsmitglied BSW,2,Bund,6,"1,2",1,
JH,Jonas Höpken,"Gründungsvorsitzender des Vereins „BSW – Für Vernunft und Gerechtigkeit“,",2,NA,6,1,1,
JLD,John Lucas Dittrich,Landesvorsitzender BSW,2,Sachsen-Anhalt,6,,1,
JP,Japan,anonyme Spende,3,Japan,7,0,2,
JPW,Jan-Peter Warnke,EU Parlament Abgeordneter,2,EU,6,0,1,
JR,Jan Ristau,Landesvorsitzender BSW,2,NRW,6,0,1,
JT,Jessica Tatti,Landesvorsitzende BSW,1,BaWü,6,1,1,
JVH,Jana van Helden,Gründungsmitglied BSW,1,NA,6,1,1,
KDM,Konferenz der Multipolarität,Videokonferenz auf Einladung Alexander Dugins im April 2023. ,3,NA,7,0,2,
KE,Konstantin Eulenburg,Landesvorsitzender BSW Hamburg,2,Hamburg,6,0,1,
KIT,Karlsruher Institut für Technologie (KIT),Institution,3,Karlsruhe,1,0,2,
KM,Dr. Kai Merkel,Referent bei BSW,2,NA,7,0,1,
KP,Kommunistische Plattform,Zusammenschluss von Kommunisten in der Partei DIE LINKE,3,NA,1,0,2,
LS,Lukas Schön,Bundesgeschäftsführer,2,Bund,3,1,1,
LSA,Lotte Salingré,Mitglied BSW/Geldgeber,1,NA,6,0,1,
LuS,Luca Saß,Mitglied BSW,2,Thüringen,6,0,1,
M,Modugen GmbH,Tragwerksplanung von Holzbauten,3,NA,4,0,2,
MEX,Mexiko,anonyme Spende,3,Mexico,7,0,2,
MFS,Ministerium für Staatssicherheit ,Ministerium für Staatssicherheit ,3,Ost-Berlin,1,0,2,
MK,Metin Kaya,Stellvertretender Landesvorsitzender BSW Hamburg,2,Hamburg,6,1,1,
MKBI,MKBauImm – Mediation und Konfliktmanagement in der Bau- und Immobilienwirtschaft e.V.,Verein,3,NA,2,0,2,
ML,Michael Lüders,Beisitzer,2,Sachsen-Anhalt,6,"2,5",1,
MLPD,Marxistisch-Leninistischen Partei Deutschlands (MLPD),Partei,3,Gelsenkirchen,3,0,2,
MS,Manfred Seel,Beisitzer,2,Bund,6,1,1,
MV,Miloš Vučević,"Ministerpräsident Serbien, ehemaliger Verteidigungsminister ",2,Serbien,6,0,1,
MVDS,Michael von der Schulenburg,EU Parlament Abgeordneter,2,EU,6,1,1,
OL,Oskar Lafontaine,Gründungsmitglied BSW,2,Bund,1,"1,2",1,
PDHWH,Prof. Dr. Hans-Werner Horn,Erweiteter Landesvorstand,2,BaWü,6,0,1,
PDMH,Prof. Dr. Manfred Hentz,Landesvorsitzender BSW,2,BaWü,6,2,1,
PFV,Pegida-Förderverein,Verein,3,Dresden,2,0,2,
PMS,Prof. Matthias Schrappe,Leiter BSW-Expertenrat Gesundheit,2,NA,6,1,1,
RC,Robert Crumbach,Stellv. Ministerpräsident,2,Brandenburg,6,1,1,
RF,Ruth Firmenich,EU Parlament Abgeordneter,1,EU,6,1,1,
RK,Reinhard Kaiser,Beisitzer,2,Berlin,6,5,1,
RL,Rosa Luxemburg Stiftung,Parteinahe Stiftung von der Partei DIE LINKE,3,NA,1,0,1,
RP,Richard Pitterle,Landesschatzmeister,2,BaWü,6,1,1,
RS,Ralph Suikat,Bundesschatzmeister,2,Bund,3,0,1,
RU,Ruptly,"Videoagentur, Netzwerk des russischen Propagandamediums RT ",3,Berlin,4,0,2,
SGFB,Schmalenbach-Gesellschaft für Betriebswirtschaft e.V.,Verein,3,NA,2,0,2,
SH,Shervin Hagsheno,Stellvertretender Parteivorsitzender,2,Bund,3,1,1,
SL,Sergej Lawrow,Russischer Außenminister,2,Russland,6,0,1,
SPD,Soziale Partei Deutschland,Partei,3,Bund,3,0,2,
SQ,Steffen Quasebarth,Vizepräsident des Thüringer Landtages,2,Thüringen,6,0,1,
SR,Stefan Roth,Landesgeschäftsführer,2,Brandenburg,6,1,1,
SS,Steffen Schumann,Beisitzer,2,Bund & Rheinland-Pfalz,6,1,1,
SUB,Senat Uni Bielefeld,Senat,3,Bielefeld,2,0,2,
SvW,Sven Weber,"Mitglied Gründungsversammlung Thüringer Landesverbandes, ehemaliger Linken Politiker",2,Thüringen,6,1,1,
SW,Sahra Wagenknecht,Parteivorsitzende,1,Bund,3,1,1,
SZ,Sabine Zimmermann,Beisitzerin und Mitglied des Landtags,1,Sachsen,6,1,1,
TG,Thomas Geisel,Beisitzer & EU Parlament Abgeordneter,2,EU ,6,2,1,
KW,Katja Wolf,Landesvorsitzende,1,Thüringen,6,1,1,
TK,Tilo Kummer,"Geschäftsführer des Thüringer Landesverbands, langjähriger Landtagsabgeordneter der Linken",2,Thüringen,6,1,1,"Name auf Liste hauptamtlicher Mitarbeiter,  Abteilung Funkabwehr/Funkaufklärung der Zentrale des MfS in Berlin."
TR,Thorsten Renken,Landesvorsitzender BSW Niedersachsen,2,Niedersachsen,6,0,1,
TS,Thomas Schmid,BSW Landtagskandidat,2,Thüringen,6,"2, 3  - 4",1,
TST,Thomas Stanger,Mitglied BSW/Geldgeber,2,NA,6,0,1,
UL,Ulf Lange ,"BSW Kandidat Landtagswahl Sachsen, ehemaliger Stasi Mitarbeiter ",2,Sachsen,6,0,1,
UT,Uta Tesch,Erweiteter Landesvorstand,1,BaWü,6,0,1,
VL,Valoon GmbH,Baustellentechnik,3,NA,4,0,2,
VP,Volksbank Pirna ,Volksbank Pirna,3,Pirna,4,0,2,
VS,Volker Schneider,Mitglied BSW,2,Bund,6,1,1,
WEF,World Economic Forum – Future of Construction Initiative,NGO,3,NA,5,0,2,
WFD,Wachregiment Feliks Dzierzynski,Wehrdienst im Wachregiment Feliks Dzierzynski,3,Ost-Berlin ,1,0,2,
WH,Wolfhard Hack,"BSW Kandidat Landtagswahl Sachsen, ehemaliger Stasi Mitarbeiter ",2,Sachsen,6,0,1,
WP,Wladimir Putin,Präsident Russland,2,Russland,6,0,1,
WT,Werner Trapmann,Gründungsmitglied BSW,2,Bund,7,0,1,
YP,Yukon Projects GmbH,Projektmanagement in Bauprojekten,3,NA,4,0,2,
ZB,Zeitschrift Bauingenieur,Medien,3,NA,2,0,2,
ZHS,Zentralrat der Serben in Hessen,Zentralrat der Serben in Hessen,3,Hessen,2,0,2,
ZIA,Zentraler Immobilienausschuss,Verband,3,NA,2,0,2,
ZN,Zaklin Nastic ,"BSW-Mitgründerin, Bundestagsabgeordnete, Vorstand BSW",1,Hamburg,6,1,1,