from,to,relation
AAD,BSW,3
AAD,AGA,2
AAD,AM,2
AAD,AR,2
AAD,BSW,2
AAD,BSWeV,3
AAD,BSWeV,2
AAD,CL,2
AAD,DL,6
AAD,DL,9
AAD,FB,2
AAD,HH,2
AAD,JF,2
AAD,JH,2
AAD,JVH,2
AAD,LS,2
AAD,OL,2
AAD,RS,2
AAD,SH,2
AAD,SW,2
AAD,WT,2
AAD,ZN,6
AD,AL,5
AD,KDM,8
AD,SL,5
AFA,UT,2
AFD,TS,6
AFD,TS,9
AG,ZN,5
AG,AL,5
AGA,AAD,2
AGA,BSW,3
AGA,DL,6
AGA,DL,9
AH,AM,2
AH,AU,2
AH,BSW,2
AH,BSW,3
AH,CL,2
AH,DL,9
AH,DL,6
AH,JT,2
AH,SW,2
AH,ZN,2
AH,JT,2
AI,AM,2
AI,BSW,2
AI,BSW,3
AI,SPD,3
AI,SW,2
AL,BSW,6
AL,AD,5
AL,KDM,8
AL,SL,5
AL,ZHS,3
AL,ZHS,2
AL,ZN,6
AL,AM,2
AL ,AG,5
AM,AAD,2
AM,Al,2
AM,AR,2
AM,BSW,2
AM,BSW,3
AM,BSWeV,2
AM,BSWeV,3
AM,CHS,2
AM,CL,2
AM,DL,9
AM,DL,6
AM,FB,2
AM,HO,2
AM,JT,2
AM,LS,2
AM,RS,2
AM,SH,2
AM,SW,2
AM,TR,2
AM,WT,5
AM,SR,2
AM,AH,2
AM,AI,2
AM,AU,2
AM,JR,2
AM,RK,2
Antifa,RP,3
AP,VP,7
AR,AAD,2
AR,AM,2
AR,ARL,2
AR,AU,2
AR,BSW,2
AR,BSW,3
AR,BSWeV,2
AR,BSWeV,3
AR,CL,2
AR,DL,6
AR,DL,9
AR,FB,2
AR,FDM,2
AR,FPB,3
AR,HL,2
AR,JLD,2
AR,JT,2
AR,LS,2
AR,ML,2
AR,RK,2
AR,RL,9
AR,RS,2
AR,SH,2
AR,SR,2
AR,SS,2
AR,SUB,3
AR,SW,2
AR,TG,2
AR,WT,5
AR,ZN,2
ARL,AR,2
ARL,BSW,2
ARL,BSW,3
ARL,CS,2
ARL,DAT,2
ARL,DL,9
ARL,DL,6
ARL,FB,2
ARL,HB,2
ARL,JT,2
ARL,PDHWH,2
ARL,PDMH,2
ARL,RP,2
ARL,UT,2
AU,AR,2
AU,AH,2
AU,AM,2
AU,BSW,2
AU,BSW,3
AU,DL,9
AU,DL,6
AU,FB,2
AU,JF,2
AU,JR,2
AU,SPD,9
AU,SPD,6
AU,SS,2
AU,SW,2
AU,SZ,2
AU,ZN,2
AUS,BSWeV,7
AV,MV,2
AV,WP,5
BDG,RK,9
BDG,RK,6
BSE,SH,9
BSW,AAD,2
BSW,AAD,3
BSW,AGA,3
BSW,AH,2
BSW,AH,3
BSW,AI,3
BSW,AI,2
BSW,AL,6
BSW,AM,2
BSW,AM,3
BSW,AR,2
BSW,AR,3
BSW,ARL,3
BSW,ARL,2
BSW,AU,2
BSW,AU,3
BSW,BSWeV,4
BSW,BSWeV,2
BSW,CHS,3
BSW,CHS,2
BSW,CK,3
BSW,CK,2
BSW,CL,2
BSW,CL,3
BSW,CS,3
BSW,CS,2
BSW,DAT,3
BSW,DAT,2
BSW,DLK,2
BSW,EA,2
BSW,FB,2
BSW,FB,3
BSW,FDM,2
BSW,FDM,3
BSW,FP,2
BSW,FP,3
BSW,FPB,3
BSW,GST,2
BSW,HB,3
BSW,HB,2
BSW,HH,3
BSW,HL,3
BSW,HO,3
BSW,HO,2
BSW,JB,3
BSW,JB,2
BSW,JF,3
BSW,JH,3
BSW,JLD,2
BSW,JLD,3
BSW,JPW,2
BSW,JPW,3
BSW,JR,2
BSW,JR,3
BSW,JT,2
BSW,JT,3
BSW,JVH,3
BSW,KE,3
BSW,KE,2
BSW,KW,2
BSW,KW,3
BSW,LS,2
BSW,LS,3
BSW,LSA,4
BSW,LuS,2
BSW,LuS,3
BSW,MK,3
BSW,MK,2
BSW,ML,2
BSW,ML,3
BSW,MS,2
BSW,MS,3
BSW,MVDS,2
BSW,MVDS,3
BSW,OL,2
BSW,OL,3
BSW,PDHWH,3
BSW,PDHWH,2
BSW,PDMH,2
BSW,PDMH,3
BSW,PMS,2
BSW,PMS,3
BSW,RC,2
BSW,RC,3
BSW,RF,2
BSW,RF,3
BSW,RK,2
BSW,RK,3
BSW,RP,3
BSW,RP,2
BSW,RS,2
BSW,RS,3
BSW,SH,2
BSW,SH,3
BSW,SR,2
BSW,SR,3
BSW,SS,2
BSW,SS,3
BSW,SvW,3
BSW,SvW,2
BSW,SW,2
BSW,SW,3
BSW,SZ,2
BSW,SZ,3
BSW,TG,2
BSW,TG,3
BSW,TK,3
BSW,TK,2
BSW,TR,3
BSW,TR,2
BSW,TS,2
BSW,TS,3
BSW,TST,3
BSW,TST,4
BSW,UL,3
BSW,UL,2
BSW,UT,2
BSW,UT,3
BSW,VP,7
BSW,WH,3
BSW,WT,2
BSW,WT,3
BSW,HH,3
BSW,ZN,3
BSW,ZN,2
BSW,LSA,3
BSWeV,AAD,2
BSWeV,AAD,3
BSWeV,AM,2
BSWeV,AM,3
BSWeV,AR,3
BSWeV,AR,2
BSWeV,AUS,7
BSWeV,BSW,2
BSWeV,BSW,4
BSWeV,CHL,7
BSWeV,CL,2
BSWeV,CL,3
BSWeV,FB,2
BSWeV,FB,3
BSWeV,HH,3
BSWeV,IND,7
BSWeV,ISR,7
BSWeV,JF,3
BSWeV,JF,2
BSWeV,JP,7
BSWeV,LS,3
BSWeV,LS,2
BSWeV,MEX,7
BSWeV,OL,3
BSWeV,OL,2
BSWeV,RS,2
BSWeV,RS,3
BSWeV,SH,2
BSWeV,SH,3
BSWeV,SW,3
BSWeV,SW,2
BSWeV,WT,3
BSWeV,WT,2
BSWeV,HH,3
CDU,TS,6
CDU,TS,9
CHL,BSWeV,7
CHS,AM,2
CHS,BSW,2
CHS,BSW,3
CHS,SW,2
CK,BSW,3
CK,BSW,2
CK,JB,2
CK,KE,2
CK,MK,2
CK,ZN,2
CK,BSW,3
CL,AAD,2
CL,AM,2
CL,AR,2
CL,BSW,2
CL,BSW,3
CL,BSWeV,2
CL,BSWeV,3
CL,DL,9
CL,DL,6
CL,FB,2
CL,JT,2
CL,LS,2
CL,RS,2
CL,SH,2
CL,SW,2
CL,WT,5
CL,AH,2
CS,JT,2
CS,ARL,2
CS,BSW,2
CS,BSW,3
CS,DAT,2
CS,DL,9
CS,DL,6
CS,HB,2
CS,PDHWH,2
CS,PDMH,2
CS,RP,2
CS,UT,2
DAT,JT,2
DAT,ARL,2
DAT,BSW,2
DAT,BSW,3
DAT,CS,2
DAT,DL,6
DAT,HB,2
DAT,PDHWH,2
DAT,PDMH,2
DAT,RP,2
DAT,UT,2
DB,SH,3
DGFB,SH,3
DHBW,PDMH,2
DHBW,PDHWH,2
DL,AM,9
DL,AGA,6
DL,AGA,9
DL,AH,9
DL,AH,6
DL,AM,6
DL,AR,6
DL,AR,9
DL,ARL,6
DL,ARL,9
DL,AU,9
DL,AU,6
DL,CL,9
DL,CL,6
DL,CS,6
DL,CS,9
DL,DAT,6
DL,DLK,3
DL,FB,6
DL,FB,9
DL,FDM,6
DL,FDM,9
DL,HB,6
DL,HB,9
DL,HL,9
DL,HL,6
DL,HO,6
DL,HO,9
DL,JF,9
DL,JF,6
DL,JH,6
DL,JH,9
DL,JLD,9
DL,JT,6
DL,JT,9
DL,JVH,6
DL,JVH,9
DL,KW,9
DL,KW,6
DL,LS,9
DL,LS,6
DL,MK,9
DL,MK,6
DL,MVDS,9
DL,MVDS,6
DL,OL,9
DL,OL,6
DL,PDHWH,9
DL,PMS,9
DL,PMS,6
DL,RC,9
DL,RC,6
DL,RF,9
DL,RF,6
DL,RP,6
DL,RP,9
DL,SR,9
DL,SR,6
DL,SS,9
DL,SS,6
DL,SvW,9
DL,SvW,6
DL,SW,9
DL,SW,6
DL,SZ,9
DL,SZ,6
DL,TK,9
DL,TK,6
DL,ZN,6
DL,ZN,9
DL,AAD,6
DL,AAD,9
DLK,SW,2
DLK,BSW,2
DLK,DL,3
DVP,SH,3
EA,SW,2
EA,BSW,2
EGFLC,SH,3
FB,AAD,2
FB,AM,2
FB,AR,2
FB,ARL,2
FB,AU,2
FB,BSW,2
FB,BSW,3
FB,BSWeV,2
FB,BSWeV,3
FB,CL,2
FB,DL,9
FB,DL,6
FB,FDM,2
FB,HL,2
FB,JLD,2
FB,JT,2
FB,LS,2
FB,ML,2
FB,MS,2
FB,RK,2
FB,RS,2
FB,SH,2
FB,SR,2
FB,SS,2
FB,SW,2
FB,SZ,2
FB,TG,2
FB,WT,5
FB,ZN,2
FB,MVDS,2
FDM,AR,2
FDM,JT,2
FDM,BSW,2
FDM,BSW,3
FDM,DL,6
FDM,DL,9
FDM,FP,2
FDM,JPW,2
FDM,MVDS,2
FDM,RF,2
FDM,TG,2
FDM,FB,2
FDM,JT,2
FP,BSW,2
FP,BSW,3
FP,FDM,2
FP,JPW,2
FP,MVDS,2
FP,RF,2
FP,TG,2
FPB,BSW,3
FPB,AR,3
FPB,SW,2
GLCI,SH,3
GST,SW,2
GST,BSW,2
HB,DL,9
HB,ARL,2
HB,BSW,3
HB,BSW,2
HB,CS,2
HB,DAT,2
HB,DL,6
HB,JT,2
HB,PDHWH,2
HB,PDMH,2
HB,RP,2
HB,UT,2
HH,AAD,2
HH,BSW,3
HH,SW,2
HH,BSWeV,3
HH,SW,2
HHA,VP,2
HHA,RS,2
HJS,SR,2
HL,AR,2
HL,FB,2
HL,JT,2
HL,BSW,3
HL,DL,3
HL,DL,6
HL,SS,2
HO,AM,2
HO,BSW,2
HO,BSW,3
HO,DL,6
HO,DL,9
HO,SW,2
IGFLC,SH,3
IND,BSWeV,7
IPA,SH,3
ISR,BSWeV,7
JB,BSW,3
JB,BSW,2
JB,CK,2
JB,KE,2
JB,MK,2
JB,ZN,2
JF,AAD,2
JF,BSW,3
JF,BSWeV,2
JF,BSWeV,3
JF,DL,9
JF,DL,6
JF,JT,2
JF,OL,2
JF,SPD,9
JF,SPD,6
JF,VS,2
JF,AU,2
JH,AAD,2
JH,BSW,3
JH,DL,6
JH,DL,9
JLD,AR,2
JLD,FB,2
JLD,BSW,2
JLD,BSW,3
JLD,ML,2
JLD,DL,9
,,
JP,BSWeV,7
JPW,BSW,2
JPW,BSW,3
JPW,FDM,2
JPW,FP,2
JPW,MVDS,2
JPW,PMS,2
JPW,RF,2
JPW,TG,2
JR,AU,2
JR,BSW,2
JR,BSW,3
JR,AM,2
JT,AM,2
JT,AH,2
JT,AR,2
JT,ARL,2
JT,BSW,2
JT,BSW,3
JT,CL,2
JT,CS,2
JT,DAT,2
JT,DL,9
JT,DL,6
JT,FB,2
JT,FDM,2
JT,HB,2
JT,HL,2
JT,JF,2
JT,LS,2
JT,OL,2
JT,PDHWH,2
JT,PDMH,2
JT,RP,2
JT,RS,2
JT,SH,2
JT,SW,2
JT,UT,2
JT,ZN,2
JVH,AAD,2
JVH,BSW,3
JVH,DL,6
JVH,DL,9
KDM,AD,8
KDM,AL,8
KDM,SL,8
KE,BSW,3
KE,BSW,2
KE,CK,2
KE,JB,2
KE,MK,2
KE,ZN,2
KIT,SH,2
KW,BSW,2
KW,BSW,3
KW,DL,9
KW,DL,6
KW,TS,2
KW,SvW,2
KW,TK,2
LS,AAD,2
LS,AM,2
LS,AR,2
LS,BSW,2
LS,BSW,3
LS,BSWeV,2
LS,BSWeV,3
LS,CL,2
LS,DL,9
LS,DL,6
LS,FB,2
LS,JT,2
LS,RS,2
LS,SH,2
LS,SW,2
LS,WT,5
LSA,BSW,3
LSA,BSW,4
LSA,TST,1
LSA,RS,5
LSA,SW,5
LuS,BSW,2
LuS,BSW,3
M,SH,2
MEX,BSWeV,7
MFS,TK,6
MFS,SvW,6
MK,DL,6
MK,BSW,3
MK,BSW,2
MK,CK,2
MK,DL,9
MK,JB,2
MK,KE,2
MK,ZN,2
MKBI,SH,2
MKBI,SH,3
ML,BSW,2
ML,BSW,3
ML,AR,2
ML,FB,2
ML,JLD,2
MLPD,VP,7
MS,BSW,2
MS,BSW,3
MS,FB,2
MV,AV,2
MV,ZN,5
MVDS,BSW,2
MVDS,BSW,3
MVDS,DL,9
MVDS,DL,6
MVDS,FB,2
MVDS,FDM,2
MVDS,JPW,2
MVDS,RF,2
MVDS,TG,2
MVDS,FP,2
OL,AAD,2
OL,BSW,2
OL,BSW,3
OL,BSWeV,2
OL,BSWeV,3
OL,DL,9
OL,DL,6
OL,JF,2
OL,JT,2
OL,SPD,6
OL,SPD,9
OL,SW,1
OL,SW,2
OL,WT,5
PDHWH,JT,2
PDHWH,ARL,2
PDHWH,BSW,2
PDHWH,BSW,3
PDHWH,CS,2
PDHWH,DAT,2
PDHWH,DHBW,2
PDHWH,HB,2
PDHWH,PDMH,2
PDHWH,RP,2
PDHWH,UT,2
PDHWH,JT,2
PDHWH,DL,9
PDMH,JT,2
PDMH,ARL,2
PDMH,BSW,3
PDMH,BSW,2
PDMH,CS,2
PDMH,DAT,2
PDMH,DHBW,2
PDMH,HB,2
PDMH,PDHWH,2
PDMH,RP,2
PDMH,SPD,9
PDMH,UT,2
PFV,VP,7
PMS,BSW,2
PMS,BSW,3
PMS,DL,9
PMS,DL,6
PMS,JPW,2
RC,BSW,2
RC,BSW,3
RC,DL,9
RC,DL,6
RC,SR,2
RF,MVDS,2
RF,BSW,2
RF,BSW,3
RF,DL,9
RF,DL,6
RF,FDM,2
RF,FP,2
RF,JPW,2
RF,TG,2
RK,BSW,2
RK,AM,2
RK,AR,2
RK,BDG,9
RK,BDG,6
RK,BSW,3
RK,FB,2
RK,SW,2
RK,BSW,3
RL,SW,9
RL,AR,9
RP,JT,2
RP,Antifa,3
RP,ARL,2
RP,BSW,2
RP,BSW,3
RP,CS,2
RP,DAT,2
RP,DL,9
RP,DL,6
RP,HB,2
RP,PDHWH,2
RP,PDMH,2
RP,UT,2
RS,AAD,2
RS,AM,2
RS,AR,2
RS,BSW,2
RS,BSW,3
RS,BSWeV,2
RS,BSWeV,3
RS,CL,2
RS,FB,2
RS,HHA,2
RS,JT,2
RS,LS,2
RS,LSA,5
RS,SH,2
RS,SW,2
RS,TST,5
RS,WT,5
RU,VP,7
SGFB,SH,3
SH,AAD,2
SH,AM,2
SH,AR,2
SH,BSE,9
SH,BSW,2
SH,BSW,3
SH,BSWeV,2
SH,BSWeV,3
SH,CL,2
SH,DB,3
SH,DGFB,3
SH,DVP,3
SH,EGFLC,3
SH,FB,2
SH,GLCI,3
SH,IGFLC,3
SH,IPA,3
SH,JT,2
SH,KIT,2
SH,LS,2
SH,M,2
SH,MKBI,2
SH,MKBI,3
SH,RS,2
SH,SGFB,3
SH,SW,2
SH,VL,2
SH,WEF,2
SH,YP,2
SH,ZB,2
SH,ZIA,2
SH,ZIA,3
SL,KDM,8
SL,AL,5
SL,AD,5
SL,WP,2
SPD,PDMH,9
SPD,AI,3
SPD,AU,9
SPD,AU,6
SPD,JF,9
SPD,JF,6
SPD,SZ,9
SPD,SZ,6
SPD,TG,9
SPD,TG,6
SPD,TS,6
SPD,TS,9
SPD,OL,6
SPD,OL,9
SQ,TS,2
SR,BSW,2
SR,AM,2
SR,AR,2
SR,BSW,3
SR,DL,9
SR,DL,6
SR,FB,2
SR,HJS,2
SR,RC,2
SR,SW,2
SS,BSW,2
SS,AR,2
SS,AU,2
SS,BSW,3
SS,DL,9
SS,DL,6
SS,FB,2
SS,HL,2
SUB,AR,3
SvW,TS,2
SvW,BSW,3
SvW,BSW,2
SvW,DL,9
SvW,DL,6
SvW,KW,2
SvW,MFS,6
SvW,TK,2
SvW,TS,2
SW,AAD,2
SW,AI,2
SW,AM,2
SW,AR,2
SW,BSW,2
SW,BSW,3
SW,BSWeV,2
SW,BSWeV,3
SW,CHS,2
SW,CL,2
SW,DL,9
SW,DL,6
SW,DLK,2
SW,EA,2
SW,FB,2
SW,FPB,2
SW,GST,2
SW,HH,2
SW,HO,2
SW,JT,2
SW,LS,2
SW,LSA,5
SW,OL,2
SW,OL,1
SW,RL,9
SW,RS,2
SW,SH,2
SW,TST,5
SW,WT,5
SW,ZN,2
SW,SR,2
SW,AAD,2
SW,AH,2
SW,AU,2
SW,RK,2
SZ,AU,2
SZ,BSW,2
SZ,BSW,3
SZ,DL,9
SZ,DL,6
SZ,FB,2
SZ,SPD,9
SZ,SPD,6
SZ,UL,2
SZ,WH,2
TG,AR,2
TG,BSW,2
TG,BSW,3
TG,FB,2
TG,FDM,2
TG,FP,2
TG,JPW,2
TG,MVDS,2
TG,RF,2
TG,SPD,9
TG,SPD,6
TK,BSW,3
TK,BSW,2
TK,DL,9
TK,DL,6
TK,KW,2
TK,MFS,6
TK,SvW,2
TK,TS,2
TR,AM,2
TR,BSW,2
TR,BSW,3
TS,BSW,2
TS,AFD,6
TS,AFD,9
TS,BSW,3
TS,CDU,6
TS,CDU,9
TS,KW,2
TS,SPD,6
TS,SPD,9
TS,SQ,2
TS,SvW,2
TS,TK,2
TST,BSW,3
TST,BSW,4
TST,LSA,1
TST,RS,5
TST,SW,5
UL,WH,2
UL,BSW,3
UL,BSW,2
UL,SZ,2
UL,WFD,6
UT,JT,2
UT,AFA,2
UT,ARL,2
UT,BSW,2
UT,BSW,3
UT,CS,2
UT,DAT,2
UT,HB,2
UT,PDHWH,2
UT,PDMH,2
UT,RP,2
VL,SH,2
VP,HHA,2
VP,AP,7
VP,MLPD,7
VP,PFV,7
VP,RU,7
VP ,BSW,7
VS,JF,2
WEF,SH,2
WFD,WH,6
WFD,UL,6
WH,WFD,6
WH,BSW,3
WH,BSW,2
WH,SZ,2
WH,UL,2
WP,SL,2
WP,AV,5
WT,AAD,2
WT,AM,5
WT,AR,5
WT,BSW,2
WT,BSW,3
WT,BSWeV,3
WT,BSWeV,2
WT,CL,5
WT,FB,5
WT,LS,5
WT,OL,5
WT,RS,5
WT,SW,5
YP,SH,2
ZB,SH,2
ZHS,AL,3
ZHS,AL,2
ZIA,SH,2
ZIA,SH,3
ZN,AAD,6
ZN,AG,5
ZN,AAD,6
ZN,AL,6
ZN,AR,2
ZN,BSW,3
ZN,BSW,2
ZN,CK,2
ZN,DL,9
ZN,DL,6
ZN,FB,2
ZN,JB,2
ZN,JT,2
ZN,KE,2
ZN,MK,2
ZN,MV,5
ZN,SW,2
ZN,AH,2
ZN,AU,2
